#;week;store;price_Boran;price_Zeyma;price_Liebo;price_Cranb;display_prom;feature_prom;display_prom_Liebo;feature_prom_Liebo;sales_Boran
1;1;1;1.51;1.33;1.37;1.55;0;0;0;0;19
2;2;1;1.51;1.33;1.41;1.55;0;0;0;0;26
3;3;1;1.51;1.33;1.41;1.55;0;0;0;0;25
4;4;1;1.51;1.33;1.41;1.55;0;0;0;0;25
5;5;1;1.51;1.33;1.41;1.55;0;0;0;0;24
6;6;1;1.51;1.33;1.41;1.7;0;0;0;0;34
7;7;1;1.51;1.33;1.41;1.7;0;0;0;0;27
8;8;1;1.51;1.33;1.41;1.7;0;0;0;0;17
9;9;1;1.51;1.33;1.41;1.7;0;0;0;0;27
10;10;1;1.51;1.33;1.41;1.7;0;0;0;0;20
11;11;1;1.51;1.28;1.41;1.7;0;0;0;0;25
12;12;1;1.51;1.28;1.41;1.7;0;0;0;0;20
13;13;1;1.51;1.28;1.45;1.7;0;0;0;0;23
14;14;1;1.51;1.28;1.45;1.7;0;0;0;0;26
15;15;1;1.51;1.31;1.45;1.7;0;0;0;0;22
16;16;1;1.51;1.31;1.45;1.7;0;0;0;0;18
17;17;1;1.51;1.31;1.45;1.7;0;0;0;0;20
18;18;1;1.51;1.31;1.48;1.7;0;0;0;0;23
19;19;1;1.51;1.31;1.48;1.7;0;0;0;0;27
20;20;1;1.51;1.31;1.48;1.7;0;0;0;0;26
21;21;1;1.51;1.31;1.48;1.7;0;0;0;0;28
22;22;1;1.51;1.31;1.48;1.7;0;0;0;0;26
23;23;1;1.51;1.31;1.48;1.7;0;0;0;0;27
24;24;1;1.51;1.31;1.48;1.7;0;0;0;0;24
25;25;1;1.51;1.31;1.48;1.7;0;0;0;0;25
26;26;1;1.51;1.31;1.48;1.7;0;0;0;0;32
27;27;1;1.51;1.31;1.48;1.7;0;0;0;0;18
28;28;1;1.51;1.31;1.48;1.7;0;0;0;0;26
29;29;1;1.51;1.31;1.48;1.7;0;0;0;0;21
30;30;1;1.51;1.31;1.48;1.7;0;0;0;0;21
31;31;1;1.51;1.31;1.48;1.66;0;0;0;0;33
32;32;1;1.51;1.35;1.41;1.66;0;0;0;0;23
33;33;1;1.51;1.35;1.41;1.66;0;0;0;0;25
34;34;1;1.51;1.35;1.41;1.66;0;0;0;0;35
35;35;1;1.51;1.35;1.41;1.66;0;0;0;0;32
36;36;1;1.55;1.35;1.41;1.66;0;0;0;0;23
37;37;1;1.55;1.35;1.41;1.66;0;0;0;0;22
38;38;1;1.55;1.35;1.41;1.66;0;0;0;0;26
39;39;1;1.55;1.35;1.41;1.66;0;0;0;0;25
40;40;1;1.55;1.35;1.41;1.66;0;0;0;0;16
41;41;1;1.55;1.35;1.41;1.66;0;0;0;0;29
42;42;1;1.55;1.35;1.41;1.66;0;0;0;0;22
43;43;1;1.55;1.35;1.41;1.66;0;0;0;0;19
44;44;1;1.55;1.35;1.41;1.66;0;0;0;0;18
45;45;1;1.55;1.35;1.41;1.66;0;0;0;0;18
46;46;1;1.55;1.35;1.41;1.66;0;0;0;0;27
47;47;1;1.55;1.35;1.47;1.66;0;0;0;0;20
48;48;1;1.55;1.35;1.47;1.66;0;0;0;0;22
49;49;1;1.55;1.35;1.47;1.66;0;0;0;0;24
50;50;1;1.55;1.35;1.47;1.66;0;0;0;0;19
51;51;1;1.55;1.35;1.47;1.66;0;0;0;0;24
52;52;1;1.55;1.35;1.39;1.66;0;0;0;0;19
53;53;1;1.55;1.35;1.39;1.66;0;0;0;0;21
54;54;1;1.55;1.35;1.39;1.66;0;0;0;0;30
55;55;1;1.55;1.35;1.39;1.66;0;0;0;0;27
56;56;1;1.55;1.35;1.39;1.66;0;0;0;0;19
57;57;1;1.55;1.35;1.39;1.66;0;0;0;0;16
58;58;1;1.55;1.35;1.41;1.66;0;0;0;0;20
59;59;1;1.55;1.35;1.41;1.66;0;0;0;0;23
60;60;1;1.56;1.34;1.38;1.66;0;0;0;0;16
61;61;1;1.56;1.34;1.38;1.66;0;0;0;0;14
62;62;1;1.56;1.34;1.38;1.66;0;0;0;0;18
63;63;1;1.48;1.34;1.38;1.66;0;0;0;0;19
64;64;1;1.48;1.34;1.38;1.66;0;0;0;0;35
65;65;1;1.48;1.34;1.38;1.66;0;0;0;0;24
66;66;1;1.48;1.34;1.38;1.66;0;0;0;0;41
67;67;1;1.48;1.34;1.38;1.66;0;0;0;0;20
68;68;1;1.48;1.39;1.38;1.66;0;0;0;0;25
69;69;1;1.48;1.39;1.38;1.65;0;0;0;0;25
70;70;1;1.48;1.39;1.38;1.65;0;0;0;0;25
71;71;1;1.48;1.39;1.47;1.65;0;0;0;0;23
72;72;1;1.48;1.39;1.47;1.65;0;0;0;0;22
73;73;1;1.48;1.39;1.47;1.61;0;0;0;0;25
74;74;1;1.48;1.39;1.47;1.61;0;0;0;0;29
75;75;1;1.48;1.39;1.47;1.61;0;0;0;0;27
76;76;1;1.48;1.39;1.47;1.61;0;0;0;0;31
77;77;1;1.5;1.39;1.47;1.59;0;0;0;0;18
78;78;1;1.5;1.39;1.47;1.59;0;0;0;0;29
79;79;1;1.5;1.39;1.47;1.59;0;0;0;0;30
80;80;1;1.5;1.39;1.47;1.59;0;0;0;0;23
81;81;1;1.5;1.39;1.47;1.59;0;0;0;0;28
82;82;1;1.5;1.39;1.47;1.59;0;0;0;0;19
83;83;1;1.5;1.39;1.5;1.59;0;0;0;0;18
84;84;1;1.5;1.39;1.5;1.59;0;0;0;0;18
85;85;1;1.5;1.42;1.5;1.59;0;0;0;0;28
86;86;1;1.5;1.39;1.5;1.59;0;0;0;0;32
87;87;1;1.5;1.39;1.5;1.59;0;0;0;0;19
88;88;1;1.5;1.39;1.5;1.59;0;0;0;0;34
89;89;1;1.5;1.34;1.5;1.59;0;0;0;0;23
90;90;1;1.5;1.34;1.5;1.59;0;0;0;0;19
91;91;1;1.5;1.34;1.5;1.59;0;0;0;0;29
92;92;1;1.5;1.34;1.5;1.59;0;0;0;0;31
93;93;1;1.56;1.34;1.5;1.59;0;0;0;0;23
94;94;1;1.56;1.34;1.5;1.56;0;0;0;0;34
95;95;1;1.56;1.34;1.5;1.56;0;0;0;0;26
96;96;1;1.56;1.34;1.5;1.56;0;0;0;0;29
97;97;1;1.56;1.34;1.45;1.56;0;0;0;0;26
98;98;1;1.56;1.34;1.45;1.66;0;0;0;0;27
99;99;1;1.56;1.34;1.45;1.72;0;0;0;0;17
100;100;1;1.56;1.34;1.45;1.72;0;0;0;0;14
101;101;1;1.56;1.34;1.45;1.72;0;0;0;0;29
102;102;1;1.56;1.34;1.45;1.7;0;0;0;0;26
103;103;1;1.56;1.34;1.42;1.7;0;0;0;0;23
104;104;1;1.56;1.34;1.42;1.7;0;0;0;0;25
105;105;1;1.56;1.34;1.42;1.7;0;0;0;0;20
106;106;1;1.56;1.34;1.42;1.7;0;0;0;0;23
107;107;1;1.47;1.34;1.42;1.7;0;0;0;0;27
108;108;1;1.47;1.34;1.42;1.7;0;0;0;0;24
109;109;1;1.47;1.34;1.42;1.7;0;0;0;0;26
110;110;1;1.47;1.34;1.42;1.7;0;0;0;0;33
111;111;1;1.47;1.34;1.42;1.7;0;0;0;0;27
112;112;1;1.47;1.34;1.42;1.7;0;0;0;0;22
113;113;1;1.47;1.34;1.42;1.7;0;0;0;0;29
114;114;1;1.47;1.45;1.42;1.7;0;0;0;0;35
115;115;1;1.47;1.45;1.42;1.7;0;0;0;0;30
116;116;1;1.41;1.45;1.42;1.7;0;0;0;0;26
117;117;1;1.41;1.45;1.38;1.7;0;0;0;0;32
118;118;1;1.41;1.45;1.38;1.7;0;0;0;0;27
119;119;1;1.41;1.39;1.33;1.7;0;0;0;0;34
120;120;1;1.38;1.39;1.33;1.7;0;0;0;0;32
121;1;2;1.52;1.18;1.26;1.54;0;0;0;0;19
122;2;2;1.52;1.18;1.26;1.54;0;0;0;0;13
123;3;2;1.52;1.18;1.26;1.43;0;0;0;0;19
124;4;2;1.59;1.18;1.26;1.43;0;0;0;0;15
125;5;2;1.59;1.18;1.26;1.43;0;0;0;0;22
126;6;2;1.59;1.18;1.26;1.52;0;0;0;0;23
127;7;2;1.59;1.18;1.26;1.52;0;0;0;0;22
128;8;2;1.59;1.18;1.26;1.52;0;0;0;0;16
129;9;2;1.59;1.18;1.26;1.52;0;0;0;0;15
130;10;2;1.59;1.18;1.26;1.52;0;0;0;0;14
131;11;2;1.59;1.18;1.26;1.52;0;0;0;0;15
132;12;2;1.53;1.18;1.26;1.52;0;0;0;0;19
133;13;2;1.51;1.18;1.26;1.52;0;0;0;0;25
134;14;2;1.51;1.18;1.26;1.52;0;0;0;0;22
135;15;2;1.51;1.18;1.22;1.49;0;0;0;0;24
136;16;2;1.51;1.14;1.22;1.49;0;0;0;0;17
137;17;2;1.51;1.14;1.22;1.49;0;0;0;0;20
138;18;2;1.51;1.14;1.22;1.49;0;0;0;0;19
139;19;2;1.51;1.14;1.22;1.49;0;0;0;0;22
140;20;2;1.51;1.14;1.22;1.49;0;0;0;0;22
141;21;2;1.51;1.14;1.22;1.51;0;0;0;0;19
142;22;2;1.51;1.14;1.22;1.51;0;0;0;0;16
143;23;2;1.51;1.14;1.22;1.51;0;0;0;0;27
144;24;2;1.51;1.14;1.22;1.51;0;0;0;0;20
145;25;2;1.51;1.14;1.22;1.51;0;0;0;0;22
146;26;2;1.51;1.14;1.22;1.51;0;0;0;0;21
147;27;2;1.51;1.14;1.22;1.51;0;0;0;0;18
148;28;2;1.51;1.14;1.22;1.51;0;0;0;0;24
149;29;2;1.51;1.18;1.22;1.51;0;0;0;0;20
150;30;2;1.51;1.21;1.33;1.51;0;0;0;0;19
151;31;2;1.51;1.19;1.33;1.51;0;0;0;0;15
152;32;2;1.51;1.19;1.33;1.51;0;0;0;0;19
153;33;2;1.51;1.19;1.33;1.51;0;0;0;0;20
154;34;2;1.51;1.19;1.37;1.48;0;0;0;0;20
155;35;2;1.51;1.19;1.37;1.48;0;0;0;0;21
156;36;2;1.51;1.19;1.37;1.48;0;0;0;0;24
157;37;2;1.51;1.19;1.43;1.48;0;0;0;0;22
158;38;2;1.51;1.19;1.43;1.48;0;0;0;0;18
159;39;2;1.51;1.19;1.43;1.44;0;0;0;0;27
160;40;2;1.51;1.19;1.43;1.44;0;0;0;0;16
161;41;2;1.51;1.19;1.43;1.44;0;0;0;0;27
162;42;2;1.51;1.19;1.46;1.44;0;0;0;0;22
163;43;2;1.51;1.19;1.46;1.44;0;0;0;0;22
164;44;2;1.51;1.19;1.46;1.44;0;0;0;0;13
165;45;2;1.51;1.19;1.46;1.44;0;0;0;0;16
166;46;2;1.51;1.19;1.46;1.44;0;0;0;0;28
167;47;2;1.51;1.19;1.46;1.44;0;0;0;0;27
168;48;2;1.51;1.19;1.46;1.44;0;0;0;0;31
169;49;2;1.51;1.19;1.46;1.44;0;0;0;0;29
170;50;2;1.51;1.19;1.46;1.44;0;0;0;0;26
171;51;2;1.51;1.19;1.46;1.44;0;0;0;0;14
172;52;2;1.51;1.19;1.46;1.44;0;0;0;0;22
173;53;2;1.51;1.19;1.46;1.51;0;0;0;0;31
174;54;2;1.67;1.19;1.46;1.51;0;0;0;0;23
175;55;2;1.67;1.19;1.46;1.51;0;0;0;0;18
176;56;2;1.67;1.19;1.46;1.51;0;0;0;0;21
177;57;2;1.67;1.19;1.46;1.51;0;0;0;0;22
178;58;2;1.67;1.19;1.46;1.51;0;0;0;0;21
179;59;2;1.6;1.19;1.43;1.51;0;0;0;0;14
180;60;2;1.6;1.19;1.43;1.51;0;0;0;0;13
181;61;2;1.6;1.19;1.43;1.51;0;0;0;0;18
182;62;2;1.6;1.19;1.43;1.51;0;0;0;0;18
183;63;2;1.6;1.19;1.43;1.55;0;0;0;0;22
184;64;2;1.57;1.19;1.43;1.55;0;0;0;0;15
185;65;2;1.57;1.19;1.43;1.55;0;0;0;0;18
186;66;2;1.57;1.19;1.43;1.55;0;0;0;0;16
187;67;2;1.57;1.19;1.43;1.55;0;0;0;0;22
188;68;2;1.57;1.19;1.43;1.55;0;0;0;0;27
189;69;2;1.57;1.15;1.43;1.58;0;0;0;0;23
190;70;2;1.57;1.15;1.43;1.58;0;0;0;0;17
191;71;2;1.57;1.15;1.43;1.58;0;0;0;0;25
192;72;2;1.47;1.15;1.43;1.58;0;0;0;0;20
193;73;2;1.47;1.15;1.43;1.58;0;0;0;0;24
194;74;2;1.47;1.15;1.43;1.58;0;0;0;0;22
195;75;2;1.47;1.15;1.43;1.58;0;0;0;0;24
196;76;2;1.47;1.15;1.43;1.58;0;0;0;0;27
197;77;2;1.47;1.15;1.43;1.58;0;0;0;0;29
198;78;2;1.47;1.15;1.43;1.58;0;0;0;0;17
199;79;2;1.47;1.15;1.43;1.58;0;0;0;0;21
200;80;2;1.6;1.15;1.43;1.58;0;0;0;0;17
201;81;2;1.6;1.15;1.43;1.58;0;0;0;0;23
202;82;2;1.6;1.15;1.43;1.58;0;0;0;0;15
203;83;2;1.74;1.15;1.32;1.58;0;0;0;0;20
204;84;2;1.74;1.15;1.32;1.58;0;0;0;0;17
205;85;2;1.74;1.15;1.27;1.58;0;0;0;0;15
206;86;2;1.74;1.15;1.27;1.58;0;0;0;0;13
207;87;2;1.74;1.15;1.27;1.51;0;0;0;0;20
208;88;2;1.74;1.19;1.27;1.57;0;0;0;0;25
209;89;2;1.74;1.19;1.27;1.57;0;0;0;0;22
210;90;2;1.74;1.19;1.27;1.57;0;0;0;0;11
211;91;2;1.74;1.19;1.27;1.57;0;0;0;0;20
212;92;2;1.74;1.19;1.27;1.57;0;0;0;0;15
213;93;2;1.74;1.19;1.27;1.57;0;0;0;0;18
214;94;2;1.74;1.19;1.27;1.57;0;0;0;0;15
215;95;2;1.74;1.19;1.33;1.57;0;0;0;0;13
216;96;2;1.77;1.19;1.4;1.57;0;0;0;0;15
217;97;2;1.54;1.19;1.4;1.57;0;0;0;0;27
218;98;2;1.54;1.19;1.4;1.57;0;0;0;0;20
219;99;2;1.54;1.19;1.4;1.57;0;0;0;0;19
220;100;2;1.65;1.19;1.4;1.57;0;0;0;0;15
221;101;2;1.65;1.19;1.4;1.57;0;0;0;0;22
222;102;2;1.65;1.19;1.4;1.57;0;0;0;0;18
223;103;2;1.65;1.19;1.4;1.57;0;0;0;0;20
224;104;2;1.65;1.19;1.4;1.57;0;0;0;0;17
225;105;2;1.65;1.19;1.4;1.57;0;0;0;0;17
226;106;2;1.65;1.19;1.4;1.57;0;0;0;0;16
227;107;2;1.65;1.19;1.4;1.57;0;0;0;0;18
228;108;2;1.65;1.19;1.4;1.57;0;0;0;0;18
229;109;2;1.65;1.19;1.4;1.57;0;0;0;0;18
230;110;2;1.65;1.19;1.4;1.57;0;0;0;0;26
231;111;2;1.65;1.19;1.4;1.57;0;0;0;0;17
232;112;2;1.65;1.08;1.4;1.57;0;0;0;0;33
233;113;2;1.65;1.18;1.4;1.57;0;0;0;0;23
234;114;2;1.56;1.18;1.4;1.57;0;0;0;0;26
235;115;2;1.56;1.18;1.31;1.57;0;0;0;0;20
236;116;2;1.56;1.2;1.18;1.57;0;0;0;0;16
237;117;2;1.56;1.2;1.18;1.57;0;0;0;0;15
238;118;2;1.56;1.2;1.18;1.57;0;0;0;0;24
239;119;2;1.56;1.2;1.18;1.57;0;0;0;0;25
240;120;2;1.56;1.2;1.24;1.57;0;0;0;0;23
241;1;3;1.88;1.56;1.64;1.91;0;0;0;0;9
242;2;3;1.88;1.56;1.64;1.91;0;0;1;1;6
243;3;3;1.88;1.54;1.64;1.91;0;1;1;1;10
244;4;3;1.88;1.53;1.64;1.91;0;0;0;0;9
245;5;3;1.88;1.62;1.64;1.91;0;0;0;0;10
246;6;3;2.06;1.62;1.64;1.91;0;0;0;0;7
247;7;3;2.06;1.62;1.64;1.91;0;0;0;0;9
248;8;3;2.06;1.62;1.64;1.91;1;1;0;0;115
249;9;3;2.06;1.62;1.64;1.91;0;0;0;0;8
250;10;3;2.06;1.62;1.64;1.91;1;0;0;0;26
251;11;3;2.06;1.62;1.64;1.91;0;0;1;0;9
252;12;3;2.06;1.62;1.64;1.91;0;0;1;1;3
253;13;3;2.06;1.62;1.64;1.91;0;0;0;0;10
254;14;3;2.06;1.62;1.64;1.91;0;0;0;0;10
255;15;3;2.02;1.62;1.67;1.91;0;1;1;0;17
256;16;3;2.02;1.62;1.67;1.91;0;0;0;0;8
257;17;3;1.99;1.62;1.67;1.91;0;0;0;0;6
258;18;3;1.99;1.62;1.67;1.91;0;0;0;0;13
259;19;3;1.92;1.62;1.67;1.91;0;0;0;0;12
260;20;3;1.92;1.62;1.54;1.91;1;1;0;0;145
261;21;3;1.92;1.62;1.54;1.91;1;0;0;0;33
262;22;3;1.92;1.62;1.54;1.91;1;1;0;0;130
263;23;3;1.92;1.62;1.54;1.91;0;0;1;0;13
264;24;3;1.92;1.62;1.54;1.91;1;0;1;0;27
265;25;3;1.92;1.62;1.54;1.91;0;0;0;0;8
266;26;3;1.92;1.62;1.54;1.91;1;0;0;0;29
267;27;3;1.92;1.62;1.54;1.91;1;1;0;1;67
268;28;3;1.92;1.62;1.54;1.91;0;0;0;0;12
269;29;3;1.92;1.62;1.54;1.91;0;1;0;0;20
270;30;3;1.92;1.73;1.59;1.91;0;0;0;0;9
271;31;3;1.92;1.73;1.59;1.91;0;0;1;0;6
272;32;3;1.92;1.73;1.59;1.91;0;0;0;0;13
273;33;3;1.92;1.73;1.59;1.91;0;0;0;0;11
274;34;3;1.92;1.73;1.6;1.8;1;0;0;0;30
275;35;3;1.97;1.59;1.6;1.8;0;0;0;0;11
276;36;3;1.97;1.59;1.6;1.8;0;0;0;1;12
277;37;3;1.97;1.59;1.6;1.8;0;0;0;0;9
278;38;3;1.97;1.59;1.6;1.8;0;0;0;0;11
279;39;3;1.97;1.59;1.6;1.8;0;0;1;1;4
280;40;3;1.97;1.59;1.6;1.8;0;0;0;0;7
281;41;3;2.03;1.59;1.6;1.8;0;0;0;0;9
282;42;3;2.03;1.74;1.6;1.8;0;0;0;0;10
283;43;3;2.03;1.74;1.6;1.8;1;1;0;0;89
284;44;3;2.03;1.74;1.6;1.8;0;0;0;0;12
285;45;3;2.03;1.6;1.6;1.8;1;1;0;0;100
286;46;3;2.03;1.6;1.6;1.8;1;0;0;0;28
287;47;3;2.03;1.6;1.6;1.8;0;0;0;0;10
288;48;3;2.03;1.6;1.6;1.8;0;0;0;0;7
289;49;3;2.03;1.6;1.6;1.8;1;0;0;0;30
290;50;3;2.03;1.6;1.6;1.8;0;0;0;0;8
291;51;3;2.03;1.6;1.6;1.8;1;1;0;0;100
292;52;3;2.03;1.6;1.6;1.8;0;0;0;0;11
293;53;3;2.03;1.59;1.6;1.8;0;0;0;0;11
294;54;3;2.03;1.59;1.6;1.8;0;0;0;0;7
295;55;3;2.03;1.59;1.6;1.8;1;0;1;0;25
296;56;3;2.03;1.59;1.6;1.8;0;0;0;0;9
