"RESPNUM","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","A13","A14","A15","A16","A17","A18","A19","A20","A21","A22","A23","A24","TOPBOT3","GENDER","AGE","MARITST","NUMKIDS","FIRSTCAR","AGECAT","KIDSCAT","INCOME"
1,2,3,1,5,5,7,6,6,2,1,4,5,3,4,2,4,5,4,5,3,4,4,4,2,1,2,44,3,0,2,5,0,6
2,7,5,4,4,4,2,4,2,7,1,1,7,7,1,1,1,1,1,5,4,3,5,4,5,3,1,24,2,1,1,1,1,3
3,4,5,7,5,5,3,2,4,3,4,7,1,1,4,3,5,6,3,4,4,5,3,4,4,2,2,34,3,1,2,3,1,1
4,2,4,2,4,4,5,6,5,1,1,2,4,2,2,3,5,4,4,4,2,5,5,5,3,3,1,44,3,0,2,5,0,3
5,5,6,7,3,4,5,2,5,3,4,6,3,3,4,6,4,5,5,4,5,4,3,4,5,1,2,41,1,2,1,5,2,4
6,6,4,5,3,4,1,4,1,7,1,2,6,7,2,1,2,1,2,5,4,4,4,4,4,1,2,26,1,1,1,2,1,4
7,7,3,5,4,4,1,3,2,7,1,1,7,6,2,2,1,1,1,4,5,4,3,5,4,1,1,33,3,0,2,3,0,6
8,7,4,5,3,4,1,5,2,7,1,1,7,7,1,1,2,1,1,5,5,4,6,4,4,3,1,48,3,0,2,6,0,4
9,4,1,3,4,3,7,7,5,3,5,7,1,3,7,6,4,3,4,6,7,6,2,2,2,1,2,32,1,3,2,3,2,1
10,2,5,1,5,5,5,6,7,2,1,3,4,3,5,5,3,5,5,3,4,4,3,3,4,1,2,34,3,0,2,3,0,4
11,7,4,6,5,5,2,4,1,7,1,2,7,7,1,2,1,2,1,5,3,4,6,3,6,3,1,55,2,0,2,6,0,2
12,5,7,6,4,3,4,1,4,3,4,6,1,2,4,3,3,5,4,4,5,5,3,4,5,1,2,43,3,0,2,5,0,6
13,4,1,3,5,4,6,6,4,3,4,7,1,5,7,7,4,3,3,7,7,6,1,2,1,1,1,42,1,0,2,5,0,2
14,2,4,1,4,3,5,7,5,2,1,5,3,5,5,4,4,3,5,4,4,3,4,4,5,1,1,20,1,0,2,1,0,5
